no,분류,카테고리번호,HOT/ICE,이름,가격,설명
15,커피(HOT),1,HOT,아메리카노,2000,"블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피."
16,커피(HOT),2,HOT,카페라떼,2900,진한 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.
17,커피(HOT),3,HOT,바닐라라떼,3400,바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.
18,커피(HOT),4,HOT,연유라떼,3900,"향기로운 에스프레소 샷, 부드러운 우유 그리고 달콤한 연유가 조화롭게 어우러진 라떼."
19,커피(HOT),5,HOT,카라멜마끼야또,3700,폼 밀크 속에 진한 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피.
20,커피(HOT),6,HOT,카페모카,3900,"초코를 만나 풍부해진 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피."
21,커피(HOT),7,HOT,카푸치노,2900,"에스프레소 위에 올려진 우유 거품, 그리고 시나몬 파우더로 완성한 조화로운 맛의 커피."
22,커피(ICE),1,ICE,아메리카노,2000,"블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피."
23,커피(ICE),2,ICE,카페라떼,2900,진한 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.
24,커피(ICE),3,ICE,바닐라라떼,3400,바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.
25,커피(ICE),4,ICE,연유라떼,3900,"향기로운 에스프레소 샷, 부드러운 우유 그리고 달콤한 연유가 조화롭게 어우러진 라떼."
26,커피(ICE),5,ICE,카라멜마끼아또,3500,폼 밀크 속에 진한 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피.
27,커피(ICE),6,ICE,카페모카,3700,"초코를 만나 풍부해진 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피."
28,커피(ICE),7,ICE,카푸치노,2700,"에스프레소 위에 올려진 우유 거품, 그리고 시나몬 파우더로 완성한 조화로운 맛의 커피."
29,티,1,ICE,복숭아아이스티,3000,홍차의 깊은 맛과 풍부한 복숭아 향이 어우러진 달콤한 여름철 인기 음료
30,티,2,ICE,유자차,3300,비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티.
31,티,3,ICE,레몬차,3300,상큼한 레몬의 맛과 향을 오롯이 살린 비타민C 가득한 과일티.
32,티,4,ICE,자몽차,3300,달콤쌉싸름한 자몽의 조화로운 맛을 한 잔 가득 느낄 수 있는 과일티.
33,티,5,ICE,녹차,2500,고소한 감칠맛과 부드러운 목넘김으로 산뜻하게 마음을 위로하는 국내산 녹차.
34,티,6,ICE,캐모마일,2500,마음을 진정 시켜주는 산뜻한 풀내음을 느낄 수 있는 허브티.
35,티,7,ICE,얼그레이,2500,홍차 특유의 풍부한 플레이버를 만끽할 수 있는 허브티.
36,티,8,HOT,유자차,3300,비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티.
37,티,9,HOT,레몬차,3300,상큼한 레몬의 맛과 향을 오롯이 살린 비타민C 가득한 과일티.
38,티,11,HOT,자몽차,3300,달콤쌉싸름한 자몽의 조화로운 맛을 한 잔 가득 느낄 수 있는 과일티.
39,티,12,HOT,녹차,2500,고소한 감칠맛과 부드러운 목넘김으로 산뜻하게 마음을 위로하는 국내산 녹차.
40,티,13,HOT,캐모마일,2500,마음을 진정 시켜주는 산뜻한 풀내음을 느낄 수 있는 허브티.
41,티,14,HOT,얼그레이,2500,홍차 특유의 풍부한 플레이버를 만끽할 수 있는 허브티.
42,디저트,1,,치즈케익,3500,진한 치즈의 맛을 달콤하고 부드럽게 느낄 수 있는 케이크.
43,디저트,2,,초코케익,3500,달콤한 초콜릿 본연의 맛을 더 진하게 느낄 수 있는 케이크.
44,디저트,3,,티라미수케익,3500,부드러운 치즈 맛과 코코아의 조화로운 향으로 호불호 없이 즐기는 케이크.
45,디저트,4,,허니브레드,4500,바삭하고 쫄깃하게 구워낸 빵에 달콤한 크림을 올려 즐기는 조화로운 베이커리 메뉴.
